RANK,FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,VI,ORTG,DRTG
,Jeff Teague,Min,G,32.18,34,27.8,57.9,20.2,16.4,144,0.868,238,0.471,87,0.379,0.497,0.577,13.2,2.6,4.9,6.1,32.5,0.74,0.38,2.24,8.5,116.1,110.8
,Quinndary Weatherspoon,San,G,23.93,11,7.1,14.7,12.7,21.9,2,0.5,12,0.333,5,0.2,0.324,0.336,1.1,0.6,4.9,1.0,17.6,0.27,0.09,0.45,4.9,77.1,106.9
,Seth Curry,Dal,G,29.98,64,24.6,51.3,18.4,9.1,97,0.825,253,0.549,321,0.452,0.621,0.643,12.4,2.3,4.8,1.9,11.6,0.59,0.14,0.97,6.2,122.9,109.2
,Devon Hall,Okc,G,25.11,11,7.3,15.3,21.0,13.0,8,0.5,13,0.154,17,0.235,0.267,0.298,1.8,0.6,4.8,1.2,21.4,0.36,0.09,0.45,6.0,74.2,105.2
,Josh Gray,Nor,G,26.93,2,11.4,23.6,12.6,71.4,0,0.0,2,0.5,0,0.0,0.5,0.5,1.0,1.0,4.7,1.0,10.5,0.0,0.0,2.5,3.5,47.0,115.8
,Talen Horton-Tucker,Lal,G,19.72,6,13.5,28.2,19.6,15.9,4,0.5,17,0.588,13,0.308,0.533,0.535,5.7,1.2,4.7,1.0,10.5,1.33,0.17,1.0,5.6,97.1,95.7
,Monte Morris,Den,G,25.13,73,22.4,46.7,17.5,8.2,89,0.843,394,0.495,172,0.378,0.517,0.545,9.0,1.9,4.7,3.5,22.1,0.75,0.23,0.74,7.0,117.4,112.3
,D.J. Augustin,Orl,G,32.76,57,24.9,51.9,19.1,13.7,181,0.89,260,0.438,201,0.348,0.475,0.554,10.5,2.1,4.6,4.6,26.8,0.58,0.02,1.51,7.5,113.9,110.0
,Brandon Knight,Cle,G,28.7,16,15.1,31.4,19.1,14.9,13,0.308,22,0.409,64,0.297,0.436,0.431,4.9,1.3,4.6,1.9,17.9,0.31,0.13,1.0,6.1,89.7,111.6
,Jaylen Nowell,Min,G,21.35,15,10.1,21.0,17.3,4.7,17,0.941,27,0.593,26,0.115,0.387,0.471,3.8,0.9,4.5,1.3,17.8,0.2,0.0,0.2,6.5,109.7,111.6
,Kentavious Caldwell-Pope,Lal,G,27.49,69,25.5,53.2,14.7,10.1,102,0.775,268,0.541,239,0.385,0.558,0.584,9.3,2.1,4.4,1.6,8.5,0.84,0.2,0.9,4.9,114.4,105.2
,Tyus Jones,Mem,G,24.26,65,19.0,39.5,17.2,10.8,58,0.741,305,0.492,124,0.379,0.514,0.532,7.4,1.6,4.4,4.4,32.0,0.91,0.09,0.85,7.9,116.1,112.1
,Jordan McLaughlin,Min,G,24.35,30,19.7,41.0,15.8,13.7,39,0.667,102,0.569,76,0.382,0.57,0.587,7.6,1.6,4.4,4.2,31.0,1.13,0.13,1.03,7.5,121.5,111.3
,Jordan Bone,Det,G,22.78,10,5.3,11.0,18.1,9.1,0,0.0,10,0.3,10,0.2,0.3,0.3,1.2,0.4,4.3,0.8,21.0,0.1,0.0,0.2,5.5,76.4,106.4
,Bryn Forbes,San,G,27.06,63,25.1,52.2,18.5,8.4,90,0.833,200,0.47,381,0.388,0.544,0.57,11.2,2.0,4.3,1.7,9.5,0.52,0.0,0.9,5.4,109.5,111.6
,Dion Waiters,Lal,G,28.68,7,23.6,49.2,23.7,14.0,16,0.875,43,0.558,30,0.233,0.473,0.518,11.9,1.9,4.3,2.4,14.9,0.57,0.57,1.86,6.4,99.3,102.9
,Kadeem Allen,Nyk,G,27.58,10,11.7,24.4,20.6,14.1,11,0.636,28,0.5,16,0.313,0.489,0.512,5.0,0.9,4.1,2.1,27.0,0.5,0.2,0.8,7.2,106.0,111.9
,Trey Burke,Dal,G,27.75,8,23.9,49.8,21.4,9.4,11,0.909,45,0.422,37,0.432,0.524,0.553,12.0,1.9,4.1,3.8,23.2,1.13,0.13,1.13,7.4,114.6,108.8
,Jerian Grant,Was,G,27.85,6,13.4,27.9,17.1,9.1,7,0.714,19,0.421,8,0.25,0.407,0.449,4.5,1.0,4.1,1.5,15.2,0.17,0.17,0.5,5.6,98.7,108.4
,CJ Miles,Was,G,33.41,10,16.1,33.5,18.6,5.6,20,0.75,24,0.333,35,0.314,0.415,0.472,6.4,1.2,4.1,1.2,10.0,1.0,0.4,0.4,5.2,102.9,110.8
,Isaiah Thomas,Was,G,31.52,40,23.1,48.2,24.1,14.2,76,0.816,237,0.405,189,0.413,0.5,0.531,12.2,1.7,4.0,3.7,23.5,0.33,0.15,1.9,7.4,102.8,113.7
,Dusty Hannahs,Mem,G,26.95,2,6.7,14.0,30.7,0.0,2,1.0,6,0.333,3,0.667,0.556,0.607,6.0,0.5,3.9,0.0,0.0,0.0,0.0,0.0,0.0,120.1,110.8
,Patty Mills,San,G,32.01,66,22.5,46.9,20.4,7.7,112,0.866,195,0.533,403,0.382,0.56,0.592,11.6,1.6,3.9,1.8,11.4,0.8,0.09,0.82,5.7,115.3,111.1
,Tony Snell,Det,G,28.76,59,27.8,57.9,11.4,7.3,32,1.0,128,0.531,254,0.402,0.579,0.598,8.0,1.9,3.8,2.2,10.9,0.54,0.25,0.53,4.6,121.8,112.4
,Eric Gordon,Hou,G,31.64,36,28.2,58.8,22.5,7.8,107,0.766,160,0.469,303,0.317,0.473,0.51,14.4,2.0,3.7,1.5,7.9,0.64,0.33,1.19,5.0,101.0,109.7
,Jeremy Pargo,Gol,G,34.44,3,14.8,30.8,25.5,15.1,1,0.0,15,0.533,7,0.429,0.568,0.557,8.3,1.0,3.7,2.7,32.8,0.33,0.0,1.33,7.6,103.0,101.2
,Michael Frazier,Hou,G,26.44,13,11.1,23.2,11.5,12.5,14,0.643,6,0.5,23,0.174,0.31,0.384,2.1,0.8,3.6,0.2,1.7,0.15,0.0,0.38,2.5,75.4,101.7
,Landry Shamet,Lac,G,23.43,53,27.4,57.1,13.4,9.0,76,0.855,95,0.495,296,0.375,0.546,0.58,9.3,1.9,3.6,1.9,9.1,0.38,0.19,0.79,4.7,115.1,104.1
,Jalen Lecque,Pho,G,20.17,5,6.3,13.2,17.3,15.5,2,1.0,6,0.667,4,0.0,0.4,0.46,2.0,0.4,3.5,0.4,8.7,0.0,0.0,0.4,4.3,85.5,108.5
,JR Smith,Lal,G,34.93,6,13.2,27.4,14.4,14.9,2,1.0,11,0.545,11,0.091,0.341,0.372,2.8,0.8,3.5,0.5,4.8,0.17,0.0,0.67,3.1,71.7,107.3
,Derrick Walton Jr.,Lac,G,25.37,23,9.6,20.1,8.3,9.1,9,0.778,15,0.533,21,0.429,0.597,0.626,2.2,0.7,3.5,1.0,12.7,0.17,0.0,0.17,4.8,132.3,105.3
,Zhaire Smith,Phi,G,21.2,7,4.6,9.6,19.7,13.6,4,0.5,8,0.375,3,0.0,0.273,0.313,1.1,0.3,3.4,0.3,8.2,0.43,0.0,0.29,4.0,64.7,97.5
,Gabe Vincent,Mia,G,24.17,9,9.2,19.2,20.2,2.6,0,0.0,10,0.2,27,0.222,0.297,0.297,2.4,0.6,3.4,0.7,10.1,0.56,0.0,0.11,4.4,69.6,105.4
,Terrance Ferguson,Okc,G,22.25,56,22.5,46.8,9.1,11.9,20,0.75,52,0.558,168,0.292,0.466,0.481,3.9,1.3,3.3,0.9,5.3,0.46,0.3,0.55,2.9,97.1,102.3
,Darius Garland,Cle,G,20.55,59,30.9,64.4,20.6,17.1,72,0.875,402,0.435,296,0.355,0.476,0.499,12.3,1.9,3.3,3.9,18.5,0.69,0.07,2.54,5.8,96.3,115.7
,Chasson Randle,Gol,G,27.52,3,13.5,28.1,7.0,0.0,6,0.833,2,0.0,2,0.0,0.0,0.377,1.7,0.7,2.7,1.7,15.5,0.67,0.0,0.0,3.7,113.2,111.0
,Derrick Walton Jr.,Det,G,25.37,3,8.8,18.3,6.6,25.0,0,0.0,0,0.0,3,0.333,0.5,0.5,1.0,0.3,2.1,1.7,24.4,1.0,0.0,0.33,3.6,117.5,105.8
,Khyri Thomas,Det,G,24.27,8,7.7,15.9,15.5,13.8,4,0.5,3,0.0,14,0.357,0.441,0.453,2.1,0.1,0.9,0.4,6.7,0.38,0.0,0.38,2.3,88.0,103.0
,Joe Chealey,Cha,G,24.79,4,8.4,17.4,13.0,20.2,2,1.0,3,0.0,4,0.0,0.0,0.127,0.5,0.0,0.0,0.3,3.9,1.0,0.0,0.5,0.0,29.7,108.5
,Jamal Crawford,Bro,G,40.4,1,6.0,12.5,27.9,0.0,0,0.0,2,0.5,2,0.5,0.625,0.625,5.0,0.0,0.0,3.0,100.3,0.0,0.0,0.0,0.0,155.0,100.9
,Jared Harper,Pho,G,22.92,3,2.6,5.5,21.5,0.0,0,0.0,2,0.5,2,0.0,0.25,0.25,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
,Daryl Macon,Mia,G,24.71,4,3.5,7.3,15.6,40.0,0,0.0,1,0.0,2,0.5,0.5,0.5,0.8,0.0,0.0,0.3,9.6,0.0,0.0,0.5,0.0,,
,J.P. Macura,Cle,G,25.2,1,0.6,1.3,0.0,,0,0.0,0,0.0,0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
,Malik Newman,Cle,G,23.48,1,3.7,7.7,44.8,25.8,2,1.0,1,0.0,1,0.0,0.0,0.347,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,
