RANK,FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,VI,ORTG,DRTG
,Chris Chiozza,Was,G,24.73,10,12.3,25.5,14.6,20.9,0,0.0,18,0.167,16,0.438,0.397,0.397,2.7,1.5,6.7,2.8,29.3,1.0,0.2,0.9,7.3,91.0,106.5
,De'Aaron Fox,Sac,G,22.65,51,32.0,66.8,29.8,14.1,342,0.705,630,0.535,185,0.292,0.513,0.558,21.1,3.8,6.7,6.8,35.2,1.45,0.49,3.12,10.2,110.4,106.7
,Tyler Johnson,Bro,G,28.27,8,24.3,50.5,19.8,5.4,18,1.0,43,0.419,36,0.389,0.494,0.552,12.0,3.1,6.7,3.0,18.6,0.5,0.13,0.63,7.9,121.2,106.7
,Norman Powell,Tor,G,27.23,52,28.4,59.2,21.4,10.5,153,0.843,323,0.579,273,0.399,0.588,0.626,16.0,3.6,6.7,1.8,9.7,1.15,0.4,1.5,6.6,115.4,102.2
,Ish Smith,Was,G,32.11,68,26.3,54.7,19.1,11.6,86,0.721,520,0.473,169,0.367,0.492,0.509,10.9,3.2,6.7,4.9,27.1,0.88,0.44,1.4,8.4,107.8,113.9
,Kemba Walker,Bos,G,30.27,56,31.1,64.8,27.2,10.5,242,0.864,416,0.476,473,0.381,0.526,0.575,20.4,3.9,6.7,4.8,24.2,0.86,0.5,2.09,9.3,115.8,107.4
,Bogdan Bogdanovic,Sac,G,27.99,61,28.9,60.3,22.5,11.0,116,0.741,325,0.532,441,0.372,0.547,0.565,15.1,3.4,6.6,3.4,18.0,1.07,0.25,1.66,7.7,109.9,108.7
,Nigel Williams-Goss,Uta,G,25.91,10,5.0,10.4,17.4,15.1,2,1.0,9,0.333,7,0.286,0.375,0.415,1.4,0.6,6.6,0.6,16.5,0.3,0.1,0.3,6.4,92.2,99.3
,Ryan Arcidiacono,Chi,G,26.39,58,16.0,33.4,12.5,13.5,38,0.711,82,0.439,138,0.391,0.532,0.551,4.5,1.9,6.5,1.7,14.3,0.47,0.05,0.64,6.1,111.4,105.3
,Devin Booker,Pho,G,23.79,70,35.9,74.8,30.0,14.9,509,0.919,885,0.549,398,0.354,0.544,0.618,26.6,4.2,6.5,6.5,30.0,0.69,0.26,3.77,10.0,115.3,107.3
,Ja Morant,Mem,G,21.01,67,31.0,64.5,25.9,17.0,308,0.776,758,0.511,179,0.335,0.509,0.556,17.8,3.9,6.5,7.3,35.2,0.88,0.27,3.28,10.3,108.4,110.7
,Jerome Robinson,Lac,G,23.48,42,11.3,23.6,15.0,15.3,19,0.579,69,0.391,67,0.284,0.408,0.423,2.9,1.4,6.5,1.1,12.7,0.31,0.19,0.62,5.8,87.1,99.9
,Dennis Schroder,Okc,G,26.92,65,30.8,64.1,27.2,13.4,236,0.839,640,0.513,325,0.385,0.534,0.575,18.9,3.6,6.5,4.0,21.9,0.71,0.22,2.55,8.4,107.7,105.5
,Bradley Beal,Was,G,27.13,57,36.0,75.0,34.4,11.5,458,0.843,822,0.515,481,0.353,0.52,0.579,30.6,4.2,6.4,6.1,29.5,1.26,0.4,3.42,10.2,112.6,114.0
,Ky Bowman,Gol,G,23.16,45,22.6,47.0,17.2,17.1,41,0.829,214,0.472,107,0.308,0.469,0.494,7.4,2.7,6.4,2.9,19.4,1.0,0.22,1.56,6.8,96.0,107.2
,Markelle Fultz,Orl,G,22.21,72,27.7,57.8,21.4,14.9,159,0.73,637,0.507,135,0.267,0.488,0.517,12.1,3.3,6.4,5.1,29.0,1.25,0.17,2.04,8.5,104.2,105.6
